[E 260317 09:34:42 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '09:cc:07:74:64:55', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:34'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:47 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:48 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926009', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:49 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926009', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:50 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '99919000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:51 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'BSE', 'symboltoken': '99919000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:52 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926037', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:53 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926037', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:54 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926074', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:55 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926074', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:56 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'MCX', 'symboltoken': '472790', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:57 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'MCX', 'symboltoken': '472790', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:41:58 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '15:0a:1a:ce:3f:3f', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'MCX', 'symboltoken': '477904', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:41'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:44:46 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'af:3a:33:0e:cc:2a', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:44'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:44:47 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'af:3a:33:0e:cc:2a', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926000', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:44'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:44:48 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'af:3a:33:0e:cc:2a', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926009', 'interval': 'FIVE_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:44'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
[E 260317 09:44:48 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'af:3a:33:0e:cc:2a', 'Accept': 'application/json', 'X-PrivateKey': 'pEOas0vU', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '99926009', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-03-17 09:00', 'todate': '2026-03-17 09:44'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1019', 'status': False, 'data': None}
